,date,country,cases,deaths,death_rate
1,by 3/29/2022,US,80459923,986953.0,300.680731856901
2,by 3/29/2022,Brazil,30355919,662964.0,314.127214319699
3,by 3/29/2022,India,43060086,522223.0,38.2183997881515
4,by 3/29/2022,Russia,17880154,367521.0,254.562583093917
5,by 3/29/2022,Mexico,5733925,324134.0,254.072236690471
6,by 3/29/2022,France,27567552,142074.0,211.861376980847
7,by 3/29/2022,UK,21978198,173693.0,259.885608318051
8,by 3/29/2022,Peru,3561677,212761.0,654.438743132863
9,by 3/29/2022,Bulgaria,1153506,36856.0,528.343789301268
10,by 3/29/2022,Bosnia and Herzegovina,376841,15762.0,477.491669191154
11,by 3/29/2022,Hungary,1894278,46101.0,471.86530861113
12,by 3/29/2022,Georgia,1654313,16800.0,451.566532684009
