,date,country,dose_rate,dose_total
1,by 3/29/2022,US,66.0737,572829658.0
2,by 3/29/2022,Brazil,76.3579,426987455.0
3,by 3/29/2022,India,61.0542,1876721584.0
4,by 3/29/2022,Russia,50.2311,165983904.0
5,by 3/29/2022,Mexico,61.3724,198353262.0
6,by 3/29/2022,France,77.9067,142707489.0
7,by 3/29/2022,UK,72.86,142014650.0
8,by 3/29/2022,Peru,80.0522,71096207.0
9,by 3/29/2022,Bulgaria,29.7917,4376702.0
10,by 3/29/2022,Bosnia and Herzegovina,25.9259,1924950.0
11,by 3/29/2022,Hungary,64.2728,16498370.0
12,by 3/29/2022,Georgia,31.7212,2876960.0
